Block_Size, Weight_Factor, PSNR, SNR, MAE, RMSE, SSIM
16, 0.000000, 5.572895, 3.075966, 119.406047, 134.244176, 0.108486
16, 0.100000, 5.537868, 3.150036, 119.978339, 134.786622, 0.117375
16, 0.200000, 5.492156, 3.182949, 120.732189, 135.497841, 0.124253
16, 0.300000, 5.446228, 3.200551, 121.497642, 136.216209, 0.128938
16, 0.400000, 5.401568, 3.211701, 122.249756, 136.918387, 0.132670
16, 0.500000, 5.365146, 3.220563, 122.868886, 137.493719, 0.135939
16, 0.600000, 5.330764, 3.225548, 123.458126, 138.039049, 0.138776
16, 0.700000, 5.300654, 3.230360, 123.978013, 138.518411, 0.141356
16, 0.800000, 5.277895, 3.234896, 124.373360, 138.881833, 0.143624
16, 0.900000, 5.264331, 3.240095, 124.609965, 139.098878, 0.145696
16, 1.000000, 5.286168, 3.228239, 124.229405, 138.749613, 0.145957
32, 0.000000, 5.570108, 3.443581, 119.451412, 134.287255, 0.165397
32, 0.100000, 5.494442, 3.491255, 120.694299, 135.462183, 0.180550
32, 0.200000, 5.416933, 3.512382, 121.990117, 136.676394, 0.191088
32, 0.300000, 5.346594, 3.525093, 123.186252, 137.787703, 0.200166
32, 0.400000, 5.286824, 3.533160, 124.217996, 138.739129, 0.208456
32, 0.500000, 5.229827, 3.539000, 125.215199, 139.652543, 0.216570
32, 0.600000, 5.174445, 3.541199, 126.196744, 140.545817, 0.224174
32, 0.700000, 5.127905, 3.543949, 127.031318, 141.300895, 0.231294
32, 0.800000, 5.083608, 3.545350, 127.834025, 142.023354, 0.237807
32, 0.900000, 5.053102, 3.549002, 128.391616, 142.523047, 0.243424
32, 1.000000, 5.058125, 3.552122, 128.299540, 142.440652, 0.244455
48, 0.000000, 5.570306, 3.520825, 119.448188, 134.284194, 0.182374
48, 0.100000, 5.500670, 3.553328, 120.591185, 135.365096, 0.195582
48, 0.200000, 5.434176, 3.570339, 121.699850, 136.405347, 0.206562
48, 0.300000, 5.369893, 3.579619, 122.787905, 137.418603, 0.216257
48, 0.400000, 5.307498, 3.585702, 123.859523, 138.409303, 0.225545
48, 0.500000, 5.256135, 3.591130, 124.753298, 139.230197, 0.233697
48, 0.600000, 5.204071, 3.593953, 125.670119, 140.067259, 0.241710
48, 0.700000, 5.150950, 3.593769, 126.616954, 140.926506, 0.248973
48, 0.800000, 5.107997, 3.595289, 127.391069, 141.625137, 0.255289
48, 0.900000, 5.070631, 3.598476, 128.070744, 142.235707, 0.260954
48, 1.000000, 5.075885, 3.601123, 127.974813, 142.149690, 0.261677
64, 0.000000, 5.593813, 3.549354, 119.066454, 133.921255, 0.182723
64, 0.100000, 5.510501, 3.613708, 120.428699, 135.211964, 0.200978
64, 0.200000, 5.428613, 3.640335, 121.793368, 136.492731, 0.215293
64, 0.300000, 5.356676, 3.653897, 123.013614, 137.627862, 0.226840
64, 0.400000, 5.285380, 3.660485, 124.243100, 138.762197, 0.237964
64, 0.500000, 5.225169, 3.664446, 125.297267, 139.727449, 0.247784
64, 0.600000, 5.165549, 3.665782, 126.355583, 140.689838, 0.257511
64, 0.700000, 5.113065, 3.666279, 127.299324, 141.542518, 0.265601
64, 0.800000, 5.065634, 3.666259, 128.162084, 142.317562, 0.272834
64, 0.900000, 5.027991, 3.668225, 128.853535, 142.935679, 0.279162
64, 1.000000, 5.029739, 3.673997, 128.821289, 142.906912, 0.280394
80, 0.000000, 5.608982, 3.575001, 118.821226, 133.687582, 0.190061
80, 0.100000, 5.527686, 3.624703, 120.145560, 134.944709, 0.206541
80, 0.200000, 5.445161, 3.645260, 121.515514, 136.232936, 0.217551
80, 0.300000, 5.362117, 3.655907, 122.920620, 137.541685, 0.229153
80, 0.400000, 5.295653, 3.663328, 124.064695, 138.598175, 0.238835
80, 0.500000, 5.228699, 3.666785, 125.235066, 139.670679, 0.248125
80, 0.600000, 5.169597, 3.668485, 126.283276, 140.624294, 0.256801
80, 0.700000, 5.111315, 3.667585, 127.330984, 141.571034, 0.265021
80, 0.800000, 5.058540, 3.666607, 128.291932, 142.433842, 0.272051
80, 0.900000, 5.019752, 3.668582, 129.005660, 143.071312, 0.278445
80, 1.000000, 5.020368, 3.673114, 128.994288, 143.061177, 0.279656
